Id,Category
1,0
2,3
3,6
4,9
5,6
6,8
7,0
8,4
9,9
10,9
11,7
12,2
13,7
14,2
15,3
16,0
17,3
18,6
19,0
20,9
21,6
22,7
23,2
24,8
25,0
26,8
27,1
28,6
29,9
30,2
31,2
32,0
33,2
34,1
35,2
36,6
37,3
38,0
39,6
40,4
41,5
42,5
43,1
44,9
45,5
46,3
47,6
48,9
49,0
50,1
51,3
52,1
53,2
54,9
55,1
56,9
57,7
58,5
59,7
60,8
61,1
62,1
63,7
64,0
65,0
66,6
67,0
68,6
69,4
70,1
71,2
72,1
73,6
74,7
75,8
76,8
77,1
78,9
79,0
80,4
81,1
82,0
83,6
84,7
85,1
86,0
87,5
88,1
89,7
90,8
91,7
92,4
93,4
94,3
95,7
96,6
97,8
98,7
99,6
100,1
101,8
102,3
103,6
104,2
105,9
106,0
107,3
108,0
109,0
110,0
111,2
112,9
113,7
114,3
115,5
116,2
117,4
118,7
119,3
120,2
121,8
122,7
123,5
124,5
125,3
126,0
127,7
128,8
129,1
130,1
131,5
132,2
133,5
134,1
135,0
136,7
137,8
138,4
139,3
140,1
141,6
142,5
143,4
144,4
145,7
146,7
147,1
148,3
149,6
150,0
151,1
152,1
153,7
154,7
155,3
156,0
157,2
158,1
159,8
160,5
161,8
162,1
163,6
164,3
165,0
166,8
167,4
168,8
169,2
170,6
171,5
172,7
173,8
174,4
175,1
176,3
177,8
178,2
179,2
180,8
181,4
182,5
183,2
184,5
185,0
186,0
187,5
188,4
189,1
190,5
191,7
192,1
193,9
194,9
195,1
196,9
197,1
198,0
199,8
200,6
201,1
202,3
203,4
204,9
205,0
206,5
207,7
208,9
209,8
210,4
211,0
212,6
213,3
214,6
215,1
216,4
217,7
218,6
219,7
220,1
221,6
222,0
223,5
224,0
225,9
226,9
227,5
228,5
229,5
230,3
231,1
232,8
233,7
234,6
235,1
236,4
237,9
238,0
239,0
240,0
241,2
242,0
243,3
244,6
245,8
246,1
247,4
248,0
249,3
250,6
251,3
252,2
253,1
254,7
255,7
256,9
257,0
258,7
259,2
260,6
261,1
262,2
263,9
264,5
265,5
266,6
267,9
268,9
269,1
270,9
271,4
272,3
273,5
274,1
275,9
276,9
277,1
278,2
279,7
280,2
281,3
282,3
283,0
284,9
285,2
286,2
287,9
288,3
289,6
290,3
291,0
292,0
293,7
294,0
295,4
296,6
297,3
298,9
299,7
300,8
301,9
302,0
303,6
304,5
305,1
306,6
307,5
308,0
309,8
310,4
311,7
312,3
313,8
314,9
315,8
316,9
317,0
318,7
319,4
320,4
321,8
322,8
323,9
324,4
325,7
326,9
327,5
328,5
329,8
330,1
331,3
332,9
333,6
334,1
335,8
336,4
337,1
338,3
339,8
340,5
341,4
342,3
343,9
344,3
345,2
346,6
347,5
348,5
349,7
350,2
351,9
352,2
353,1
354,9
355,4
356,1
357,5
358,9
359,2
360,5
361,6
362,8
363,0
364,6
365,4
366,4
367,1
368,9
369,4
370,7
371,2
372,5
373,0
374,9
375,4
376,2
377,5
378,5
379,8
380,3
381,9
382,5
383,4
384,5
385,9
386,1
387,8
388,1
389,3
390,5
391,6
392,2
393,4
394,2
395,3
396,9
397,7
398,2
399,5
400,4
401,3
402,8
403,5
404,6
405,9
406,7
407,4
408,2
409,0
410,4
411,4
412,5
413,9
414,2
415,6
416,8
417,0
418,9
419,4
420,7
421,3
422,8
423,5
424,3
425,2
426,2
427,7
428,4
429,6
430,5
431,0
432,0
433,8
434,0
435,5
436,0
437,5
438,8
439,0
440,7
441,5
442,4
443,5
444,5
445,3
446,1
447,8
448,5
449,5
450,6
451,6
452,5
453,0
454,4
455,7
456,6
457,9
458,7
459,6
460,9
461,3
462,2
463,7
464,2
465,9
466,4
467,5
468,5
469,7
470,1
471,6
472,8
473,6
474,4
475,5
476,0
477,4
478,3
479,2
480,9
481,6
482,6
483,4
484,3
485,8
486,1
487,1
488,0
489,2
490,7
491,0
492,8
493,1
494,1
495,3
496,7
497,7
498,0
499,1
500,3
501,3
502,8
503,5
504,8
505,0
506,6
507,5
508,6
509,8
510,5
511,0
512,2
513,2
514,8
515,6
516,6
517,9
518,6
519,6
520,9
521,6
522,8
523,9
524,3
525,7
526,3
527,2
528,6
529,4
530,1
531,6
532,8
533,8
